,Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Hyper Params.,Model
2,RandomForestClassifier,0.8349,0.8501,0.8349,0.8374,0.83,0.8478,0.83,0.8333,0.75,0.8056,0.75,0.7389,0.943,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'n_estimators': 5, 'random_state': 145}","RandomForestClassifier(n_estimators=5, random_state=145)"
3,MLPClassifier,0.7964,0.8556,0.7964,0.7951,0.767,0.7813,0.767,0.7712,0.75,0.7583,0.75,0.7501,0.9311,smote,1000,no_scaled,"['storyPoints', 'polarity', 'E']",10,"{'max_iter': 100000, 'random_state': 632, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=632)"
6,DecisionTreeClassifier,0.8641,0.8717,0.8641,0.8644,0.8913,0.8906,0.8913,0.8903,0.75,0.7951,0.75,0.7429,0.9528,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 278}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=278)"
10,SVC,0.7708,0.7749,0.7708,0.7712,0.7812,0.7894,0.7812,0.7811,0.75,0.7663,0.75,0.7473,0.8875,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'C': 10, 'kernel': 'linear', 'random_state': 270}","SVC(C=10, kernel='linear', probability=True, random_state=270)"
0,DecisionTreeClassifier,0.8312,0.8482,0.8312,0.8337,0.8166,0.8309,0.8166,0.8195,0.75,0.7944,0.75,0.7457,0.9438,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 20}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=20)"
0,RandomForestClassifier,0.8263,0.8457,0.8263,0.8299,0.826,0.8438,0.826,0.8296,0.75,0.8056,0.75,0.7389,0.9378,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'E']",10,"{'n_estimators': 5, 'random_state': 933}","RandomForestClassifier(n_estimators=5, random_state=933)"
6,MLPClassifier,0.787,0.8441,0.787,0.7892,0.8146,0.8362,0.8146,0.8183,0.75,0.7764,0.75,0.7426,0.9317,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'max_iter': 100000, 'random_state': 256, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=256)"
14,MLPClassifier,0.8533,0.8571,0.8533,0.8535,0.8622,0.8632,0.8622,0.8621,0.75,0.7667,0.75,0.7529,0.9554,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_iter': 100000, 'random_state': 67, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=67)"
9,MLPClassifier,0.7882,0.7894,0.7882,0.7875,0.7674,0.806,0.7674,0.7692,0.75,0.7513,0.75,0.7484,0.9265,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_iter': 100000, 'random_state': 854, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=854)"
13,LogisticRegression,0.764,0.7715,0.764,0.7653,0.7551,0.7632,0.7551,0.7569,0.75,0.8012,0.75,0.7542,0.911,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'C': 10, 'penalty': 'l2', 'random_state': 148, 'solver': 'lbfgs'}","LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=148)"
1,MLPClassifier,0.8041,0.8479,0.8041,0.8039,0.7903,0.796,0.7903,0.7923,0.75,0.7668,0.75,0.7433,0.9343,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'E']",10,"{'max_iter': 100000, 'random_state': 594, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=594)"
15,DecisionTreeClassifier,0.9213,0.9236,0.9213,0.9212,0.9082,0.9085,0.9082,0.9081,0.75,0.7521,0.75,0.7507,0.9748,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 219}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=219)"
0,RandomForestClassifier,0.797,0.8178,0.797,0.8003,0.7899,0.7979,0.7899,0.7917,0.75,0.7586,0.75,0.7515,0.9205,smote,250,no_scaled,"['storyPoints', 'polarity', 'E']",10,"{'n_estimators': 20, 'random_state': 209}","RandomForestClassifier(n_estimators=20, random_state=209)"
3,RandomForestClassifier,0.8805,0.8821,0.8805,0.8806,0.8812,0.8821,0.8812,0.8815,0.75,0.7848,0.75,0.7554,0.9655,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'n_estimators': 20, 'random_state': 411}","RandomForestClassifier(n_estimators=20, random_state=411)"
3,RandomForestClassifier,0.8743,0.8762,0.8743,0.8745,0.8781,0.8787,0.8781,0.8783,0.75,0.7761,0.75,0.7526,0.9581,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'n_estimators': 10, 'random_state': 994}","RandomForestClassifier(n_estimators=10, random_state=994)"
0,KNeighborsClassifier,0.8299,0.8358,0.8299,0.83,0.8438,0.847,0.8438,0.8448,0.75,0.7765,0.75,0.7519,0.9464,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=13, p=1,
                     weights='distance')"
4,RandomForestClassifier,0.8465,0.849,0.8465,0.8467,0.8639,0.8649,0.8639,0.8642,0.75,0.7615,0.75,0.7528,0.9459,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'n_estimators': 10, 'random_state': 604}","RandomForestClassifier(n_estimators=10, random_state=604)"
4,DecisionTreeClassifier,0.8631,0.8656,0.8631,0.8633,0.8558,0.8597,0.8558,0.8559,0.75,0.75,0.75,0.75,0.9607,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 55}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=55)"
1,RandomForestClassifier,0.8308,0.8339,0.8308,0.8302,0.8438,0.8439,0.8438,0.8438,0.75,0.77,0.75,0.7504,0.9357,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'n_estimators': 10, 'random_state': 621}","RandomForestClassifier(n_estimators=10, random_state=621)"
2,DecisionTreeClassifier,0.8224,0.8314,0.8224,0.8215,0.8333,0.834,0.8333,0.8336,0.7333,0.7328,0.7333,0.7321,0.9265,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 226}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=226)"
11,LogisticRegression,0.7751,0.7857,0.7751,0.7742,0.7778,0.7837,0.7778,0.7779,0.7333,0.7429,0.7333,0.7312,0.9132,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'C': 10, 'penalty': 'l2', 'random_state': 101, 'solver': 'lbfgs'}","LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=101)"
0,MLPClassifier,0.7934,0.8565,0.7934,0.7934,0.7464,0.8103,0.7464,0.7573,0.7333,0.7525,0.7333,0.7333,0.9342,smote,250,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'max_iter': 100000, 'random_state': 56, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=56)"
3,RandomForestClassifier,0.8314,0.8381,0.8314,0.829,0.8261,0.8258,0.8261,0.8256,0.7333,0.7598,0.7333,0.7313,0.9369,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'n_estimators': 10, 'random_state': 116}","RandomForestClassifier(n_estimators=10, random_state=116)"
4,KNeighborsClassifier,0.8295,0.8409,0.8295,0.8292,0.8188,0.8207,0.8188,0.8175,0.7333,0.7555,0.7333,0.7308,0.9339,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=11, p=1,
                     weights='distance')"
2,DecisionTreeClassifier,0.8224,0.8466,0.8224,0.8244,0.7826,0.8124,0.7826,0.7868,0.7333,0.74,0.7333,0.7286,0.9273,smote,250,StandardScaler,"['storyPoints', 'polarity', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 26}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=26)"
1,DecisionTreeClassifier,0.7918,0.8258,0.7918,0.7935,0.8188,0.8428,0.8188,0.8222,0.7333,0.7813,0.7333,0.7381,0.9199,smote,250,MinMaxScaler,"['storyPoints', 'polarity', 'E']",10,"{'max_depth': 5, 'min_samples_leaf': 10, 'random_state': 233}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=10, random_state=233)"
8,KNeighborsClassifier,0.8189,0.8342,0.8189,0.8215,0.8282,0.8404,0.8282,0.8312,0.7333,0.7479,0.7333,0.7252,0.9344,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=11, p=1,
                     weights='distance')"
1,RandomForestClassifier,0.828,0.8364,0.828,0.8296,0.8333,0.8378,0.8333,0.8351,0.7333,0.7377,0.7333,0.7334,0.9396,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'E']",10,"{'n_estimators': 10, 'random_state': 810}","RandomForestClassifier(n_estimators=10, random_state=810)"
0,DecisionTreeClassifier,0.8142,0.8333,0.8142,0.8184,0.8646,0.8897,0.8646,0.8673,0.7333,0.7438,0.7333,0.7366,0.9322,smote,500,no_scaled,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 41}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=41)"
2,SVC,0.8036,0.8637,0.8036,0.8011,0.7942,0.8528,0.7942,0.7921,0.7333,0.7809,0.7333,0.7359,0.9139,smote,3000,no_scaled,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'C': 10, 'kernel': 'rbf', 'random_state': 592}","SVC(C=10, probability=True, random_state=592)"
3,RandomForestClassifier,0.8268,0.8429,0.8268,0.8289,0.8289,0.8442,0.8289,0.8314,0.7333,0.7495,0.7333,0.7314,0.9441,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'n_estimators': 20, 'random_state': 944}","RandomForestClassifier(n_estimators=20, random_state=944)"
1,DecisionTreeClassifier,0.8006,0.8252,0.8006,0.8044,0.8333,0.8548,0.8333,0.8367,0.7333,0.74,0.7333,0.7286,0.9275,smote,250,StandardScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 625}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=625)"
11,MLPClassifier,0.8431,0.8502,0.8431,0.8435,0.8484,0.8481,0.8484,0.8482,0.7333,0.7337,0.7333,0.7332,0.9589,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_iter': 100000, 'random_state': 223, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=223)"
4,KNeighborsClassifier,0.8209,0.8442,0.8209,0.823,0.8423,0.8617,0.8423,0.8447,0.7333,0.7421,0.7333,0.7245,0.9317,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=15, p=1,
                     weights='distance')"
5,SVC,0.8006,0.8617,0.8006,0.7983,0.8149,0.8766,0.8149,0.814,0.7333,0.7868,0.7333,0.7242,0.9157,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'C': 10, 'kernel': 'rbf', 'random_state': 227}","SVC(C=10, probability=True, random_state=227)"
1,LogisticRegression,0.7795,0.8519,0.7795,0.7793,0.7396,0.837,0.7396,0.738,0.7333,0.7942,0.7333,0.7243,0.9203,smote,500,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'C': 10, 'penalty': 'l2', 'random_state': 541, 'solver': 'lbfgs'}","LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=541)"
1,MLPClassifier,0.7911,0.8268,0.7911,0.7944,0.7942,0.8669,0.7942,0.7957,0.7333,0.7809,0.7333,0.7396,0.9317,smote,3000,no_scaled,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'max_iter': 100000, 'random_state': 425, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=425)"
5,KNeighborsClassifier,0.8837,0.8866,0.8837,0.8843,0.8829,0.8843,0.8829,0.8833,0.7333,0.7363,0.7333,0.7345,0.9607,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}","KNeighborsClassifier(metric='manhattan', p=1)"
7,RandomForestClassifier,0.8299,0.847,0.8299,0.8329,0.8248,0.8394,0.8248,0.8274,0.7333,0.743,0.7333,0.7288,0.9398,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'n_estimators': 5, 'random_state': 209}","RandomForestClassifier(n_estimators=5, random_state=209)"
3,RandomForestClassifier,0.8193,0.8389,0.8193,0.8236,0.8233,0.8432,0.8233,0.827,0.7333,0.7595,0.7333,0.7286,0.9395,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'E']",10,"{'n_estimators': 10, 'random_state': 312}","RandomForestClassifier(n_estimators=10, random_state=312)"
4,KNeighborsClassifier,0.8111,0.8326,0.8111,0.8146,0.8076,0.8212,0.8076,0.8117,0.7333,0.7511,0.7333,0.728,0.9315,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=15, p=1,
                     weights='distance')"
7,KNeighborsClassifier,0.8641,0.8713,0.8641,0.8645,0.9275,0.9288,0.9275,0.9277,0.7333,0.7534,0.7333,0.7381,0.9417,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', p=1, weights='distance')"
6,RandomForestClassifier,0.8768,0.8784,0.8768,0.8773,0.8819,0.8837,0.8819,0.8822,0.7333,0.7409,0.7333,0.73,0.965,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'n_estimators': 20, 'random_state': 427}","RandomForestClassifier(n_estimators=20, random_state=427)"
4,DecisionTreeClassifier,0.8253,0.8453,0.8253,0.8283,0.8061,0.8287,0.8061,0.8112,0.7333,0.7458,0.7333,0.735,0.9151,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'E']",10,"{'max_depth': 5, 'min_samples_leaf': 5, 'random_state': 319}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=5, random_state=319)"
2,DecisionTreeClassifier,0.7968,0.8111,0.7968,0.7996,0.7674,0.7882,0.7674,0.7671,0.7333,0.754,0.7333,0.7288,0.9246,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 880}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=880)"
2,SVC,0.7871,0.8422,0.7871,0.7851,0.783,0.8352,0.783,0.7782,0.7333,0.7809,0.7333,0.7359,0.9115,smote,3000,no_scaled,"['storyPoints', 'polarity', 'E']",10,"{'C': 10, 'kernel': 'rbf', 'random_state': 757}","SVC(C=10, probability=True, random_state=757)"
13,SVC,0.8065,0.8112,0.8065,0.8064,0.8194,0.8232,0.8194,0.8205,0.7167,0.7232,0.7167,0.7179,0.8959,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'C': 1, 'kernel': 'linear', 'random_state': 136}","SVC(C=1, kernel='linear', probability=True, random_state=136)"
2,RandomForestClassifier,0.8212,0.8393,0.8212,0.8249,0.8472,0.855,0.8472,0.8497,0.7167,0.7202,0.7167,0.7171,0.9326,smote,500,no_scaled,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'n_estimators': 10, 'random_state': 437}","RandomForestClassifier(n_estimators=10, random_state=437)"
6,DecisionTreeClassifier,0.8279,0.8439,0.8279,0.8309,0.8384,0.8554,0.8384,0.8409,0.7167,0.7196,0.7167,0.7172,0.9433,smote,3000,no_scaled,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 425}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=425)"
9,SVC,0.7951,0.8507,0.7951,0.7933,0.7755,0.8526,0.7755,0.7705,0.7167,0.7485,0.7167,0.7181,0.9085,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'C': 10, 'kernel': 'rbf', 'random_state': 548}","SVC(C=10, probability=True, random_state=548)"
12,SVC,0.8136,0.815,0.8136,0.8127,0.8093,0.8098,0.8093,0.8085,0.7167,0.7248,0.7167,0.7169,0.8886,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'C': 10, 'kernel': 'linear', 'random_state': 956}","SVC(C=10, kernel='linear', probability=True, random_state=956)"
4,RandomForestClassifier,0.8027,0.8182,0.8027,0.8075,0.8551,0.8588,0.8551,0.8567,0.7167,0.7222,0.7167,0.705,0.9311,smote,250,StandardScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'n_estimators': 20, 'random_state': 423}","RandomForestClassifier(n_estimators=20, random_state=423)"
5,DecisionTreeClassifier,0.8252,0.8338,0.8252,0.8257,0.7976,0.8052,0.7976,0.7987,0.7167,0.7147,0.7167,0.7088,0.9487,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 801}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=801)"
6,MLPClassifier,0.7118,0.7236,0.7118,0.7078,0.6956,0.7337,0.6956,0.6955,0.7167,0.7632,0.7167,0.7079,0.8923,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'max_iter': 100000, 'random_state': 442, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=442)"
10,MLPClassifier,0.8904,0.8927,0.8904,0.8907,0.8788,0.8822,0.8788,0.8776,0.7167,0.7462,0.7167,0.7158,0.9732,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_iter': 100000, 'random_state': 59, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=59)"
11,MLPClassifier,0.8584,0.8603,0.8584,0.8583,0.8852,0.8857,0.8852,0.8851,0.7167,0.7299,0.7167,0.7121,0.9609,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_iter': 100000, 'random_state': 886, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=886)"
3,RandomForestClassifier,0.8188,0.8427,0.8188,0.818,0.7899,0.8104,0.7899,0.7941,0.7167,0.7337,0.7167,0.7142,0.9349,smote,250,no_scaled,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'n_estimators': 20, 'random_state': 108}","RandomForestClassifier(n_estimators=20, random_state=108)"
2,KNeighborsClassifier,0.8059,0.8318,0.8059,0.8074,0.8116,0.832,0.8116,0.8149,0.7167,0.7333,0.7167,0.7175,0.9206,smote,250,no_scaled,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', p=1, weights='distance')"
16,SVC,0.7997,0.8073,0.7997,0.8014,0.8044,0.8128,0.8044,0.8057,0.7167,0.7139,0.7167,0.7109,0.904,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'C': 10, 'kernel': 'linear', 'random_state': 149}","SVC(C=10, kernel='linear', probability=True, random_state=149)"
6,SVC,0.8056,0.8602,0.8056,0.8038,0.7999,0.8559,0.7999,0.7959,0.7167,0.7817,0.7167,0.7017,0.9236,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'C': 10, 'kernel': 'rbf', 'random_state': 104}","SVC(C=10, probability=True, random_state=104)"
8,KNeighborsClassifier,0.886,0.8936,0.886,0.8862,0.8841,0.8915,0.8841,0.8849,0.7167,0.7444,0.7167,0.7142,0.9639,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=15, p=1,
                     weights='distance')"
5,KNeighborsClassifier,0.8091,0.8349,0.8091,0.8104,0.8146,0.8299,0.8146,0.8183,0.7167,0.735,0.7167,0.7159,0.9277,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=13, p=1,
                     weights='distance')"
5,MLPClassifier,0.8253,0.8601,0.8253,0.8263,0.8169,0.8837,0.8169,0.8164,0.7167,0.7772,0.7167,0.7127,0.94,smote,5000,no_scaled,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'max_iter': 100000, 'random_state': 820, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=820)"
2,LogisticRegression,0.7635,0.7858,0.7635,0.7678,0.7644,0.7904,0.7644,0.7694,0.7167,0.7444,0.7167,0.7222,0.9038,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'E']",10,"{'C': 0.1, 'penalty': 'l2', 'random_state': 561, 'solver': 'lbfgs'}","LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=561)"
12,MLPClassifier,0.7917,0.8017,0.7917,0.7932,0.816,0.8177,0.816,0.8166,0.7167,0.7232,0.7167,0.7187,0.9289,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_iter': 100000, 'random_state': 642, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=642)"
4,KNeighborsClassifier,0.8333,0.8396,0.8333,0.834,0.8438,0.8451,0.8438,0.8442,0.7167,0.7169,0.7167,0.7159,0.9427,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')"
3,KNeighborsClassifier,0.7987,0.8207,0.7987,0.8014,0.7971,0.8128,0.7971,0.8012,0.7167,0.7333,0.7167,0.7175,0.9217,smote,250,no_scaled,"['storyPoints', 'polarity', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=11, p=1,
                     weights='distance')"
3,RandomForestClassifier,0.8489,0.8521,0.8489,0.8482,0.8333,0.8444,0.8333,0.835,0.7167,0.7203,0.7167,0.7166,0.9285,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'E']",10,"{'n_estimators': 5, 'random_state': 505}","RandomForestClassifier(n_estimators=5, random_state=505)"
5,KNeighborsClassifier,0.8532,0.8628,0.8532,0.8533,0.7754,0.785,0.7754,0.7766,0.7167,0.752,0.7167,0.7099,0.951,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=9, p=1, weights='distance')"
4,MLPClassifier,0.7518,0.7627,0.7518,0.7538,0.7478,0.7721,0.7478,0.7526,0.7167,0.717,0.7167,0.7166,0.916,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'max_iter': 100000, 'random_state': 200, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=200)"
5,DecisionTreeClassifier,0.8572,0.8618,0.8572,0.8579,0.8674,0.8715,0.8674,0.8671,0.7167,0.718,0.7167,0.7162,0.9553,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 427}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=427)"
7,KNeighborsClassifier,0.8831,0.8866,0.8831,0.8842,0.8815,0.8856,0.8815,0.8825,0.7167,0.7359,0.7167,0.7128,0.9666,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}","KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1)"
5,SVC,0.7851,0.8389,0.7851,0.7828,0.7908,0.8452,0.7908,0.7886,0.7,0.765,0.7,0.6895,0.9149,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'E']",10,"{'C': 10, 'kernel': 'rbf', 'random_state': 493}","SVC(C=10, probability=True, random_state=493)"
5,LogisticRegression,0.759,0.829,0.759,0.7591,0.7826,0.8412,0.7826,0.7817,0.7,0.7754,0.7,0.7044,0.9114,smote,250,StandardScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'C': 10, 'penalty': 'l2', 'random_state': 743, 'solver': 'lbfgs'}","LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=743)"
6,KNeighborsClassifier,0.8144,0.8469,0.8144,0.8171,0.7999,0.8286,0.7999,0.8019,0.7,0.723,0.7,0.6824,0.927,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'E']",10,"{'metric': 'minkowski', 'n_neighbors': 13, 'weights': 'distance'}","KNeighborsClassifier(n_neighbors=13, weights='distance')"
8,RandomForestClassifier,0.8332,0.8491,0.8332,0.8357,0.816,0.8309,0.816,0.8196,0.7,0.7011,0.7,0.6996,0.9442,smote,3000,no_scaled,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'n_estimators': 10, 'random_state': 665}","RandomForestClassifier(n_estimators=10, random_state=665)"
10,LogisticRegression,0.7802,0.8139,0.7802,0.7856,0.7738,0.8062,0.7738,0.7802,0.7,0.7175,0.7,0.7014,0.9164,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'C': 10, 'penalty': 'l2', 'random_state': 680, 'solver': 'lbfgs'}","LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=680)"
0,MLPClassifier,0.7231,0.8116,0.7231,0.7193,0.7708,0.8643,0.7708,0.7765,0.7,0.7079,0.7,0.6947,0.8888,smote,500,StandardScaler,"['storyPoints', 'polarity', 'E']",10,"{'max_iter': 100000, 'random_state': 676, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=676)"
