,Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Hyper Params.,Model
1,KNeighborsClassifier,0.8281,0.8376,0.8281,0.8297,0.7971,0.7933,0.7971,0.7935,0.8,0.7997,0.8,0.7995,0.9413,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=11, p=1,
                     weights='distance')"
13,DecisionTreeClassifier,0.9565,0.957,0.9565,0.9565,0.9508,0.9509,0.9508,0.9506,0.8,0.8062,0.8,0.8022,0.9891,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 388}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=388)"
3,RandomForestClassifier,0.9176,0.9192,0.9176,0.9178,0.9346,0.9349,0.9346,0.9347,0.8,0.8018,0.8,0.7986,0.9745,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 20, 'random_state': 264}","RandomForestClassifier(n_estimators=20, random_state=264)"
4,DecisionTreeClassifier,0.8652,0.8701,0.8652,0.8665,0.8639,0.8681,0.8639,0.8653,0.8,0.8011,0.8,0.7963,0.9595,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 588}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=588)"
5,KNeighborsClassifier,0.8914,0.9012,0.8914,0.8903,0.8696,0.8707,0.8696,0.8696,0.7833,0.7835,0.7833,0.7821,0.9672,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=9, p=1, weights='distance')"
16,MLPClassifier,0.8627,0.8683,0.8627,0.8624,0.8554,0.8575,0.8554,0.8558,0.7833,0.7893,0.7833,0.7824,0.9641,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_iter': 100000, 'random_state': 352, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=352)"
15,DecisionTreeClassifier,0.9282,0.9294,0.9282,0.9281,0.9303,0.9309,0.9303,0.9303,0.7833,0.7905,0.7833,0.7838,0.9778,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 844}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=844)"
14,MLPClassifier,0.8809,0.8836,0.8809,0.8809,0.8656,0.8692,0.8656,0.8649,0.7833,0.8187,0.7833,0.7862,0.9671,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_iter': 100000, 'random_state': 297, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=297)"
13,RandomForestClassifier,0.9622,0.9632,0.9622,0.9622,0.9728,0.9729,0.9728,0.9728,0.7833,0.797,0.7833,0.7862,0.9923,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 20, 'random_state': 68}","RandomForestClassifier(n_estimators=20, random_state=68)"
5,LogisticRegression,0.9001,0.9021,0.9001,0.8998,0.8611,0.8619,0.8611,0.861,0.7833,0.8027,0.7833,0.7875,0.9619,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 10, 'penalty': 'l2', 'random_state': 945, 'solver': 'lbfgs'}","LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=945)"
6,KNeighborsClassifier,0.9028,0.908,0.9028,0.9027,0.9201,0.9214,0.9201,0.9202,0.7833,0.7948,0.7833,0.7862,0.965,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', p=1, weights='distance')"
7,RandomForestClassifier,0.9349,0.9367,0.9349,0.9348,0.9549,0.958,0.9549,0.9543,0.7833,0.7912,0.7833,0.7848,0.9878,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 20, 'random_state': 156}","RandomForestClassifier(n_estimators=20, random_state=156)"
8,MLPClassifier,0.8203,0.8278,0.8203,0.82,0.8611,0.8618,0.8611,0.8611,0.7833,0.7869,0.7833,0.7838,0.9367,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_iter': 100000, 'random_state': 688, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=688)"
5,DecisionTreeClassifier,0.881,0.8861,0.881,0.8817,0.8982,0.9024,0.8982,0.8987,0.7833,0.8025,0.7833,0.7843,0.9699,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 532}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=532)"
3,KNeighborsClassifier,0.8637,0.8672,0.8637,0.8637,0.8542,0.8574,0.8542,0.8534,0.7833,0.7861,0.7833,0.7823,0.9478,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', p=1, weights='distance')"
0,LogisticRegression,0.7931,0.8016,0.7931,0.7943,0.7821,0.793,0.7821,0.7839,0.7833,0.7805,0.7833,0.7805,0.9313,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 1, 'penalty': 'l2', 'random_state': 808, 'solver': 'lbfgs'}","LogisticRegression(C=1, max_iter=100000, multi_class='multinomial',
                   random_state=808)"
2,KNeighborsClassifier,0.8261,0.8369,0.8261,0.8249,0.8623,0.8637,0.8623,0.8621,0.7833,0.7824,0.7833,0.78,0.9407,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')"
1,LogisticRegression,0.7971,0.8102,0.7971,0.7993,0.7955,0.8131,0.7955,0.7977,0.7833,0.7815,0.7833,0.7814,0.9381,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 1, 'penalty': 'l2', 'random_state': 581, 'solver': 'lbfgs'}","LogisticRegression(C=1, max_iter=100000, multi_class='multinomial',
                   random_state=581)"
6,MLPClassifier,0.8023,0.8207,0.8023,0.8035,0.7755,0.7926,0.7755,0.7787,0.7833,0.7851,0.7833,0.7736,0.939,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,"{'max_iter': 100000, 'random_state': 519, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=519)"
5,SVC,0.7985,0.8165,0.7985,0.802,0.8231,0.8409,0.8231,0.8265,0.7833,0.7882,0.7833,0.7798,0.8915,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 1, 'kernel': 'linear', 'random_state': 730}","SVC(C=1, kernel='linear', probability=True, random_state=730)"
4,SVC,0.8197,0.8282,0.8197,0.8219,0.8078,0.8154,0.8078,0.8106,0.7833,0.7815,0.7833,0.7814,0.8918,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 1, 'kernel': 'linear', 'random_state': 168}","SVC(C=1, kernel='linear', probability=True, random_state=168)"
0,RandomForestClassifier,0.8172,0.8274,0.8172,0.8183,0.7971,0.8377,0.7971,0.7985,0.7833,0.795,0.7833,0.7853,0.9309,smote,250,no_scaled,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 20, 'random_state': 140}","RandomForestClassifier(n_estimators=20, random_state=140)"
1,RandomForestClassifier,0.8776,0.8815,0.8776,0.8773,0.8542,0.857,0.8542,0.8529,0.7833,0.821,0.7833,0.79,0.954,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 10, 'random_state': 290}","RandomForestClassifier(n_estimators=10, random_state=290)"
2,DecisionTreeClassifier,0.8333,0.844,0.8333,0.834,0.8403,0.8527,0.8403,0.8428,0.7833,0.7869,0.7833,0.7838,0.9334,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 885}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=885)"
6,MLPClassifier,0.8385,0.8465,0.8385,0.8392,0.8462,0.8541,0.8462,0.8484,0.7833,0.8002,0.7833,0.7833,0.9515,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_iter': 100000, 'random_state': 355, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=355)"
1,DecisionTreeClassifier,0.8344,0.8447,0.8344,0.8372,0.831,0.8426,0.831,0.8338,0.7833,0.8311,0.7833,0.7793,0.9504,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 963}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=963)"
9,DecisionTreeClassifier,0.8941,0.8974,0.8941,0.8938,0.8889,0.8895,0.8889,0.889,0.7833,0.807,0.7833,0.7824,0.9652,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 152}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=152)"
2,KNeighborsClassifier,0.8206,0.8419,0.8206,0.8224,0.8112,0.8365,0.8112,0.8129,0.7833,0.8045,0.7833,0.783,0.9367,smote,1000,no_scaled,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=15, p=1,
                     weights='distance')"
1,DecisionTreeClassifier,0.8257,0.8385,0.8257,0.8279,0.8384,0.8473,0.8384,0.8412,0.7833,0.7898,0.7833,0.784,0.9443,smote,1000,no_scaled,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 10, 'random_state': 559}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=10, random_state=559)"
10,KNeighborsClassifier,0.908,0.9115,0.908,0.908,0.9028,0.9063,0.9028,0.9033,0.7833,0.7857,0.7833,0.78,0.9641,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', p=1, weights='distance')"
12,LogisticRegression,0.8874,0.8871,0.8874,0.887,0.8842,0.8839,0.8842,0.8839,0.7833,0.7927,0.7833,0.785,0.9655,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 10, 'penalty': 'l2', 'random_state': 776, 'solver': 'lbfgs'}","LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=776)"
11,DecisionTreeClassifier,0.9606,0.9613,0.9606,0.9606,0.9612,0.9617,0.9612,0.9612,0.7833,0.8082,0.7833,0.7873,0.9916,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 615}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=615)"
10,RandomForestClassifier,0.9871,0.9872,0.9871,0.9871,0.9846,0.9847,0.9846,0.9846,0.7833,0.8082,0.7833,0.7873,0.9981,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 20, 'random_state': 222}","RandomForestClassifier(n_estimators=20, random_state=222)"
6,SVC,0.7883,0.7878,0.7883,0.7875,0.7857,0.7851,0.7857,0.7853,0.7833,0.7948,0.7833,0.7816,0.8737,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 10, 'kernel': 'linear', 'random_state': 931}","SVC(C=10, kernel='linear', probability=True, random_state=931)"
7,LogisticRegression,0.7696,0.7697,0.7696,0.7677,0.7857,0.788,0.7857,0.7852,0.7833,0.7871,0.7833,0.7807,0.917,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 10, 'penalty': 'l2', 'random_state': 766, 'solver': 'lbfgs'}","LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=766)"
4,LogisticRegression,0.7683,0.7681,0.7683,0.7679,0.7696,0.7704,0.7696,0.7699,0.7833,0.8048,0.7833,0.7885,0.9196,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 1, 'penalty': 'l2', 'random_state': 766, 'solver': 'lbfgs'}","LogisticRegression(C=1, max_iter=100000, multi_class='multinomial',
                   random_state=766)"
14,DecisionTreeClassifier,0.9571,0.9576,0.9571,0.957,0.9558,0.9562,0.9558,0.9558,0.7833,0.8062,0.7833,0.7869,0.9883,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 945}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=945)"
3,LogisticRegression,0.7895,0.7993,0.7895,0.7909,0.7908,0.7962,0.7908,0.7909,0.7667,0.7731,0.7667,0.763,0.9292,smote,1000,no_scaled,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 10, 'penalty': 'l2', 'random_state': 262, 'solver': 'lbfgs'}","LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=262)"
8,SVC,0.801,0.8154,0.801,0.8036,0.8044,0.8137,0.8044,0.8071,0.7667,0.7668,0.7667,0.7655,0.8866,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 1, 'kernel': 'linear', 'random_state': 795}","SVC(C=1, kernel='linear', probability=True, random_state=795)"
3,MLPClassifier,0.8194,0.8413,0.8194,0.8193,0.8189,0.8768,0.8189,0.8181,0.7667,0.7906,0.7667,0.7568,0.9451,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,"{'max_iter': 100000, 'random_state': 309, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=309)"
2,DecisionTreeClassifier,0.8364,0.8453,0.8364,0.8394,0.8514,0.8583,0.8514,0.8537,0.7667,0.7663,0.7667,0.7662,0.951,smote,5000,no_scaled,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 20, 'random_state': 342}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=20, random_state=342)"
0,DecisionTreeClassifier,0.8435,0.8526,0.8435,0.8458,0.8233,0.8335,0.8233,0.8266,0.7667,0.7664,0.7667,0.7642,0.9561,smote,3000,no_scaled,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 973}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=973)"
12,LogisticRegression,0.8411,0.8436,0.8411,0.8408,0.8472,0.8474,0.8472,0.8469,0.7667,0.7873,0.7667,0.7693,0.9493,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 10, 'penalty': 'l2', 'random_state': 521, 'solver': 'lbfgs'}","LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=521)"
7,LogisticRegression,0.7823,0.7924,0.7823,0.7842,0.784,0.787,0.784,0.7851,0.7667,0.7878,0.7667,0.7665,0.9367,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 10, 'penalty': 'l2', 'random_state': 5, 'solver': 'lbfgs'}","LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=5)"
15,MLPClassifier,0.8851,0.8879,0.8851,0.8849,0.8921,0.8922,0.8921,0.8921,0.7667,0.7688,0.7667,0.7656,0.9742,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_iter': 100000, 'random_state': 193, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=193)"
11,SVC,0.8837,0.8857,0.8837,0.883,0.8958,0.8978,0.8958,0.895,0.7667,0.7841,0.7667,0.77,0.947,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 10, 'kernel': 'linear', 'random_state': 57}","SVC(C=10, kernel='linear', probability=True, random_state=57)"
0,DecisionTreeClassifier,0.8332,0.8443,0.8332,0.8366,0.8317,0.842,0.8317,0.8348,0.7667,0.7919,0.7667,0.7594,0.9509,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 10, 'random_state': 533}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=10, random_state=533)"
13,DecisionTreeClassifier,0.9037,0.9073,0.9037,0.9033,0.8993,0.9013,0.8993,0.8995,0.7667,0.7709,0.7667,0.7664,0.9639,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 603}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=603)"
2,KNeighborsClassifier,0.818,0.8372,0.818,0.8196,0.8143,0.8363,0.8143,0.8168,0.7667,0.7799,0.7667,0.7625,0.9428,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=15, p=1,
                     weights='distance')"
17,KNeighborsClassifier,0.9536,0.9546,0.9536,0.9534,0.9507,0.9524,0.9507,0.9508,0.7667,0.7738,0.7667,0.7662,0.9836,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', p=1, weights='distance')"
0,RandomForestClassifier,0.8026,0.8119,0.8026,0.8054,0.7899,0.7997,0.7899,0.7935,0.7667,0.7663,0.7667,0.7662,0.9227,smote,250,no_scaled,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 5, 'random_state': 90}","RandomForestClassifier(n_estimators=5, random_state=90)"
3,KNeighborsClassifier,0.8223,0.8292,0.8223,0.8229,0.8261,0.8303,0.8261,0.8273,0.7667,0.7833,0.7667,0.767,0.9357,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')"
5,RandomForestClassifier,0.8819,0.8873,0.8819,0.882,0.8681,0.8699,0.8681,0.8683,0.7667,0.7738,0.7667,0.7662,0.9653,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 20, 'random_state': 251}","RandomForestClassifier(n_estimators=20, random_state=251)"
7,RandomForestClassifier,0.9197,0.9209,0.9197,0.9197,0.9189,0.9204,0.9189,0.9192,0.7667,0.8064,0.7667,0.7721,0.9763,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 20, 'random_state': 86}","RandomForestClassifier(n_estimators=20, random_state=86)"
6,DecisionTreeClassifier,0.8918,0.8965,0.8918,0.8926,0.8973,0.901,0.8973,0.8976,0.7667,0.7672,0.7667,0.7659,0.9746,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 895}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=895)"
7,RandomForestClassifier,0.9157,0.9168,0.9157,0.9159,0.9257,0.9264,0.9257,0.9259,0.7667,0.7903,0.7667,0.7658,0.977,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 20, 'random_state': 609}","RandomForestClassifier(n_estimators=20, random_state=609)"
9,KNeighborsClassifier,0.8903,0.8925,0.8903,0.891,0.8844,0.887,0.8844,0.8852,0.7667,0.7688,0.7667,0.7656,0.9666,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')"
8,RandomForestClassifier,0.8933,0.8954,0.8933,0.8934,0.915,0.9151,0.915,0.9148,0.7667,0.7874,0.7667,0.7688,0.9709,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 20, 'random_state': 917}","RandomForestClassifier(n_estimators=20, random_state=917)"
4,RandomForestClassifier,0.8712,0.8769,0.8712,0.8717,0.8551,0.8627,0.8551,0.8571,0.7667,0.7663,0.7667,0.7656,0.9593,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 20, 'random_state': 730}","RandomForestClassifier(n_estimators=20, random_state=730)"
4,DecisionTreeClassifier,0.8498,0.8577,0.8498,0.8496,0.8542,0.8557,0.8542,0.8547,0.7667,0.7815,0.7667,0.7675,0.9377,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 860}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=860)"
8,MLPClassifier,0.8087,0.8205,0.8087,0.808,0.8462,0.8552,0.8462,0.8483,0.7667,0.7652,0.7667,0.7619,0.9445,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_iter': 100000, 'random_state': 818, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=818)"
2,MLPClassifier,0.8015,0.8253,0.8015,0.8001,0.7819,0.8301,0.7819,0.779,0.75,0.793,0.75,0.7506,0.9398,smote,3000,no_scaled,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,"{'max_iter': 100000, 'random_state': 890, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=890)"
1,KNeighborsClassifier,0.79,0.8008,0.79,0.7906,0.7971,0.8192,0.7971,0.8019,0.75,0.7581,0.75,0.7497,0.8997,smote,250,no_scaled,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=15, p=1,
                     weights='distance')"
0,DecisionTreeClassifier,0.8237,0.8429,0.8237,0.8257,0.8472,0.8497,0.8472,0.8482,0.75,0.7665,0.75,0.7462,0.9358,smote,500,StandardScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 567}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=567)"
16,LogisticRegression,0.8879,0.888,0.8879,0.8877,0.8949,0.8946,0.8949,0.8946,0.75,0.7599,0.75,0.7511,0.9624,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 10, 'penalty': 'l2', 'random_state': 467, 'solver': 'lbfgs'}","LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=467)"
9,RandomForestClassifier,0.8418,0.8514,0.8418,0.8438,0.8435,0.8477,0.8435,0.8449,0.75,0.7781,0.75,0.7469,0.947,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 20, 'random_state': 562}","RandomForestClassifier(n_estimators=20, random_state=562)"
1,MLPClassifier,0.8041,0.8352,0.8041,0.804,0.8177,0.8742,0.8177,0.8166,0.75,0.793,0.75,0.7506,0.9412,smote,3000,no_scaled,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,"{'max_iter': 100000, 'random_state': 147, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=147)"
17,SVC,0.8872,0.887,0.8872,0.8866,0.8915,0.8913,0.8915,0.8909,0.75,0.7557,0.75,0.7487,0.9498,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 10, 'kernel': 'linear', 'random_state': 193}","SVC(C=10, kernel='linear', probability=True, random_state=193)"
2,DecisionTreeClassifier,0.8391,0.8482,0.8391,0.8419,0.8434,0.8528,0.8434,0.8463,0.75,0.7778,0.75,0.7443,0.9527,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 843}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=843)"
3,RandomForestClassifier,0.8375,0.8473,0.8375,0.8403,0.83,0.839,0.83,0.8328,0.75,0.7778,0.75,0.7443,0.9505,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 20, 'random_state': 446}","RandomForestClassifier(n_estimators=20, random_state=446)"
